case,location,states,date,fatalities,injured,total_victims,location2,age_of_shooter,prior_signs_mental_health_issues,race,gender,latitude,longitude,type,year,classe_age,sexe,mental,ethnie
Hialeah apartment shooting,Hialeah,Florida,7/26/2013,7,0,7, Other,42,Unclear,Latino,Male,25.864338,-80.311775,Mass,2013,3,0.0,2,2
Wakefield massacre,Wakefield,Massachusetts,12/26/2000,7,0,7,Workplace,42,Yes,white,Male,42.500429,-71.075913,Mass,2000,3,0.0,1,0
Oikos University killings,Oakland,California,04/02/2012,7,3,10,School,43,Yes,Asian,Male,37.8043808,-122.2708166,Mass,2012,3,0.0,1,3
Living Church of God shooting,Brookfield,Wisconsin,03/12/2005,7,4,11,Religious,44,Yes,white,Male,43.0605671,-88.1064787,Spree,2005,3,0.0,1,0
Lockheed Martin shooting,Meridian,Mississippi,07/08/2003,7,8,15,Workplace,48,Yes,white,Male,32.410841999999995,-88.634539,Mass,2003,3,0.0,1,0
Trolley Square shooting,Salt Lake City,Utah,02/12/2007,6,4,10,Other,18,Unclear,white,Male,40.7606467,-111.89108999999999,Mass,2007,0,0.0,2,0
Crandon shooting,Crandon,Wisconsin,10/07/2007,6,1,7,Other,20,Unclear,white,Male,45.571907200000005,-88.9028922,Mass,2007,0,0.0,2,0
Isla Vista mass murder,Santa Barbara,California,5/23/2014,6,13,19,School,22,Yes,White,M,34.436283,-119.8714406,Mass,2014,1,0.0,1,0
Tucson shooting,Tucson,Arizona,01/08/2011,6,13,19,Other,22,Yes,white,Male,32.335941,-110.975132,Mass,2011,1,0.0,1,0
Santa Monica rampage,Santa Monica,California,06/07/2013,6,3,9, Other,23,Yes,White,Male,34.008617,-118.494754,Mass,2013,1,0.0,1,0
Atlantis Plastics shooting,Henderson,Kentucky,6/25/2008,6,1,7,Workplace,25,No,white,Male,37.76721,-87.55737420000001,Spree,2008,1,0.0,0,0
Stockton schoolyard shooting,Stockton,California,1/17/1989,6,29,35,School,26,Yes,white,Male,37.9577016,-121.29077959999998,Mass,1989,1,0.0,1,0
Walter Rossler Company massacre,Corpus Christi,Texas,04/03/1995,6,0,6,Workplace,28,No,unclear,Male,27.828025,-97.548198,Mass,1995,1,0.0,0,5
University of Iowa shooting,Iowa City,Iowa,11/01/1991,6,1,7,School,28,Unclear,Asian,Male,41.6606893,-91.5302214,Spree,1991,1,0.0,2,3
Amish school shooting,Lancaster County,Pennsylvania,10/02/2006,6,5,11,School,32,No,white,Male,39.9589,-76.0806,Mass,2006,2,0.0,0,0
Long Island Rail Road massacre,Garden City,New York,12/07/1993,6,19,25,Other,35,Yes,black,Male,40.7267682,-73.6342955,Spree,1993,2,0.0,1,1
Dallas nightclub shooting,Dallas,Texas,6/29/1984,6,1,7,Other,39,Yes,white,Male,32.925166,-96.838676,Mass,1984,2,0.0,1,0
Seattle cafe shooting,Seattle,Washington,5/20/2012,6,1,7,Other,40,Yes,white,Male,47.6038321,-122.3300624,Mass,2012,2,0.0,1,0
Fort Lauderdale revenge shooting,Fort Lauderdale,Florida,02/09/1996,6,1,7,Workplace,41,Yes,black,Male,26.119269,-80.104119,Spree,1996,3,0.0,1,1
Kalamazoo shooting spree,Kalamazoo County,Michigan,2/20/2016,6,2,8,Other,45,Unclear,White,M,42.236689,-85.67479499999999,Mass,2016,3,0.0,2,0
Kirkwood City Council shooting,Kirkwood,Missouri,02/07/2008,6,2,8,Other,52,No,black,Male,38.580093,-90.40691,Mass,2008,4,0.0,0,1
Shopping centers spree killings,Palm Bay,Florida,4/23/1987,6,14,20,Other,59,Yes,white,Male,28.0331886,-80.64296949999999,Spree,1987,4,0.0,1,0
Westside Middle School killings,Jonesboro,Arkansas,3/24/1998,5,10,15,School,11,No,white,Male,35.8209895,-90.6682606,Mass,1998,0,0.0,0,0
Marysville-Pilchuck High School shooting,Marysville,Washington,10/24/2014,5,1,6,School,15,Unclear,Native American,Male,48.050824,-122.176918,Mass,2014,0,0.0,2,4
Cascade Mall shooting,Burlington,Washington,9/23/2016,5,0,5,Other,20,Yes,-,M,48.461366999999996,-122.33791799999999,Mass,2016,0,0.0,1,5
Air Force base shooting,Fairchild Air Force Base,Washington,6/20/1994,5,23,28,Military,20,Yes,white,Male,47.61864486,-117.6483587,Mass,1994,0,0.0,1,0
SunTrust bank shooting,Sebring,Florida,1/23/19,5,0,5,Workplace,21,Yes,White,M,27.471042999999998,-81.45846999999999,Mass,2019,1,0.0,1,0
Chattanooga military recruitment center,Chattanooga,Tennessee,7/16/2015,5,2,7,Military,24,Unclear,Other,Male,35.047157,-85.311819,Mass,2015,1,0.0,2,5
Dallas police shooting,Dallas,Texas,07/07/2016,5,11,16,Other,25,Unclear,Black,M,32.780105199999994,-96.80000820000001,Mass,2016,1,0.0,2,1
Damageplan show shooting,Columbus,Ohio,12/08/2004,5,7,12,Other,25,Yes,white,Male,39.9622601,-83.00070649999999,Mass,2004,1,0.0,1,0
Fort Lauderdale airport shooting,Fort Lauderdale,Florida,01/06/2017,5,6,11,Airport,26,Yes,Latino,M,26.072751,-80.14338199999999,Mass,2017,1,0.0,1,2
Pinewood Village Apartment shooting,Federal Way,Washington,4/21/2013,5,0,5, Other ,27,No,Black,Male,47.312960700000005,-122.3393665,Mass,2013,1,0.0,0,1
Northern Illinois University shooting,DeKalb,Illinois,2/14/2008,5,21,26,School,27,Yes,white,Male,41.9294736,-88.7503647,Mass,2008,1,0.0,1,0
Royal Oak postal shootings,Royal Oak,Michigan,11/14/1991,5,5,10,Workplace,31,Yes,white,Male,42.4894801,-83.1446485,Mass,1991,2,0.0,1,0
IHOP shooting,Carson City,Nevada,09/06/2011,5,7,12,Other,32,Yes,Latino,Male,39.1637984,-119.76740339999999,Mass,2011,2,0.0,1,2
Connecticut Lottery shooting,Newington,Connecticut,03/06/1998,5,1,6,Workplace,35,Yes,white,Male,41.685632500000004,-72.72983827,Mass,1998,2,0.0,1,0
Hotel shooting,Tampa,Florida,12/30/1999,5,3,8,Workplace,36,Yes,Latino,Male,27.966479,-82.57058599999999,Spree,1999,2,0.0,1,2
Capital Gazette shooting,Annapolis,Maryland,6/28/18,5,2,7,Workplace,38,-,White,M,38.994547999999995,-76.543657,Mass,2018,2,0.0,2,0
Caltrans maintenance yard shooting,Orange,California,12/18/1997,5,2,7,Workplace,41,No,Latino,Male,33.787794399999996,-117.8531119,Spree,1997,3,0.0,0,2
Rancho Tehama shooting spree,Rancho Tehama,California,11/14/17,5,10,15,Other,44,TBD,White,M,40.018759,-122.39308899999999,Spree,2017,3,0.0,2,0
Harry Pratt Co. warehouse shooting,Aurora,Illinois,2/15/19,5,6,11,Workplace,45,Yes,Black,M,41.753725,-88.331057,Mass,2019,3,0.0,1,1
Florida awning manufacturer shooting,Orlando,Florida,06/05/2017,5,0,5,Workplace,45,Unclear,-,M,28.580295,-81.294086,Mass,2017,3,0.0,2,5
Watkins Glen killings,Watkins Glen,New York,10/15/1992,5,0,5,Other,50,Yes,white,Male,42.3810555,-76.8705777,Mass,1992,3,0.0,1,0
Molson Coors shooting,Milwaukee,Wisconsin,2/26/20,5,0,5,Workplace,51,-,Black,M,43.044511,-87.962537,Mass,2020,4,0.0,2,1
T&T Trucking shooting,Bakersfield,California,09/12/2018,5,0,5,Workplace,54,-,Latino,M,35.349388,-118.916335,Spree,2018,4,0.0,2,2
Su Jung Health Sauna shooting,Norcross,Georgia,2/21/2012,5,0,5,Other,59,Yes,Asian,Male,33.9412127,-84.2135309,Mass,2012,4,0.0,1,3
Mohawk Valley shootings,Herkimer County,New York,3/13/2013,5,2,7,Other,64,No,White,Male,43.045601,-74.984891,Mass,2013,4,0.0,0,0
Navistar shooting,Melrose Park,Illinois,02/05/2001,5,4,9,Workplace,66,No,black,Male,41.908163,-87.879908,Mass,2001,4,0.0,0,1
Thurston High School shooting,Springfield,Oregon,5/21/1998,4,25,29,School,15,Yes,white,Male,44.0462362,-123.02202890000001,Mass,1998,0,0.0,1,0
Chuck E. Cheese's killings,Aurora,Colorado,12/14/1993,4,1,5,Workplace,19,Unclear,black,Male,39.675599,-104.84484499999999,Mass,1993,0,0.0,2,1
Lindhurst High School shooting,Olivehurst,California,05/01/1992,4,10,14,School,20,No,white,Male,39.07868761,-121.54757620000001,Mass,1992,0,0.0,0,0
Luigi's shooting,Fayetteville,North Carolina,08/06/1993,4,8,12,Other,22,No,white,Male,35.0529931,-78.87870579999999,Mass,1993,1,0.0,0,0
Pennsylvania carwash shooting,Melcroft,Pennsylvania,1/28/18,4,1,5,Other,28,TBD,White,M,40.052151,-79.389166,Mass,2018,1,0.0,2,0
Waffle House shooting,Nashville,Tennessee,4/22/18,4,4,8,Other,29,Yes,White,M,36.052521,-86.61694399999999,Mass,2018,1,0.0,1,0
Coffee shop police killings,Parkland,Washington,11/29/2009,4,1,5,Other,37,Yes,black,Male,47.152770000000004,-122.467308,Mass,2009,2,0.0,1,1
R.E. Phelon Company shooting,Aiken,South Carolina,9/15/1997,4,3,7,Workplace,43,No,black,Male,33.5598586,-81.721952,Mass,1997,3,0.0,0,1
Alturas tribal shooting,Alturas,California,2/20/2014,4,2,6,Other,44,Unknown,Native American,Female,41.487103999999995,-120.54223700000001,Spree,2014,3,1.0,2,4
Jersey City kosher market shooting,Jersey City,New Jersey,12/10/2019,4,3,7,Other,-,-,Black,-,40.707363,-74.083609,Spree,2019,0,,2,1
Gilroy garlic festival shooting,Gilroy,California,7/28/19,3,12,15,Other,19,TBD,-,M,36.997191,-121.584819,Mass,2019,0,0.0,2,5
Pennsylvania hotel bar shooting,State College,Pennsylvania,1/24/19,3,1,4,Other,21,-,White,M,40.785142,-77.839411,Spree,2019,1,0.0,2,0
Pennsylvania supermarket shooting,Tunkhannock,Pennsylvania,06/07/2017,3,0,3,Workplace,24,Unclear,White,M,41.529546,-75.94722,Mass,2017,1,0.0,2,0
Rite Aid warehouse shooting,Perryman,Maryland,9/20/18,3,3,6,Workplace,26,-,Black,F,39.455658,-76.208485,Mass,2018,1,1.0,2,1
Trestle Trail bridge shooting,Menasha,Wisconsin,06/11/2015,3,1,4,Other,27,Yes,Latino,M,44.204124,-88.467541,Mass,2015,1,0.0,1,2
Fifth Third Center shooting,Cincinnati,Ohio,09/06/2018,3,2,5,Workplace,29,Yes,Latino,M,39.101981,-84.511782,Mass,2018,1,0.0,1,2
Baton Rouge police shooting,Baton Rouge,ousiana,7/17/2016,3,3,6,Other,29,Yes,Black,M,30.433601,-91.08140300000001,Spree,2016,1,0.0,1,1
Mercy Hospital shooting,Chicago,Illinois,11/19/18,3,0,3,Workplace,32,-,Latino,M,41.847667,-87.62200899999999,Mass,2018,2,0.0,2,2
Colorado Springs shooting rampage,Colorado Springs,Colorado,10/31/2015,3,0,3,Other,33,Unclear,White,M,38.83755,-104.814251,Mass,2015,2,0.0,2,0
Fort Hood shooting 2,Fort Hood,Texas,04/03/2014,3,12,15,Military,34,Unclear,Latino,M,31.141716,-97.777559,Mass,2014,2,0.0,2,2
Yountville veterans home shooting,Yountville,California,03/09/2018,3,0,3,Workplace,36,Yes,Asian,M,38.392496,-122.366528,Mass,2018,2,0.0,1,3
Edgewood businees park shooting,Edgewood,Maryland,10/18/17,3,3,6,Workplace,37,Unclear,Black,M,39.452189000000004,-76.309988,Mass,2017,2,0.0,2,1
San Francisco UPS shooting,San Francisco,California,6/14/17,3,2,5,Workplace,38,Yes,Asian,M,37.765947,-122.40608700000001,Mass,2017,2,0.0,1,3
Excel Industries mass shooting,Hesston,Kansas,2/25/2016,3,14,17,Workplace,38,Unclear,Black,M,38.135992,-97.425145,Mass,2016,2,0.0,2,1
Fresno downtown shooting,Fresno,California,4/18/2017,3,0,3,Other,39,Unclear,Black,M,36.746378,-119.80031899999999,Mass,2017,2,0.0,2,1
Rural Ohio nursing home shooting,Kirkersville,Ohio,05/12/2017,3,0,3,Workplace,43,Yes,White,M,39.959034,-82.596508,Mass,2017,3,0.0,1,0
Walmart shooting in suburban Denver,Thornton,Colorado,11/01/2017,3,0,3,Other,47,Unclear,White,M,39.876374,-104.98613200000001,Mass,2017,3,0.0,2,0
Planned Parenthood clinic,Colorado Springs,Colorado,11/27/2015,3,9,12,Workplace,57,Unclear,White,M,38.881031,-104.849057,Mass,2015,4,0.0,2,0
Pensacola Naval base shooting,Pensacola,Florida,12/06/2019,3,8,11,Military,-,-,-,M,30.364707,-87.288567,Mass,2019,0,0.0,2,5
